City,Estimated_Cost_INR
Mumbai,169432233
Pune,2784592
Kolhapur,1258042
Sangli,347250
Nashik,5430915
Nagpur,17913597
Aurangabad,1445047
Thane,19230402
Solapur,923100
Akola,3036013
Amravati,3797898
Satara,556588
Raigad,1057660
Ratnagiri,1220787
Sindhudurg,553605
Palghar,4792680
Ahmednagar,378607
Chiplun,1060897
Mahad,328399
Ichalkaranji,278077
Karad,66892
Miraj,225990
Nanded,2512224
Jalgaon,2669267
Dhule,416790
Malegaon,646170
Bhiwandi,7410936
Panvel,2785029
Kalyan,11677536
Dombivli,11177400
Vasai,17948131
Virar,6717272
Navi Mumbai,1446490
Ulhasnagar,4741707
Sangamner,63397
Baramati,54570
Osmanabad,212206
Beed,148455
Hingoli,506863
Parbhani,570726
Latur,546157
Yavatmal,693147
Washim,456134
Buldhana,421609
Wardha,897975
Chandrapur,1903765
Gadchiroli,543328
Gondia,728315
Bhandara,603720
Hinganghat,608946
Pusad,444600
Achalpur,583050
Malkapur,672321
Khamgaon,504728
Jalna,109387
Partur,200640
Ghatanji,740132
Murtijapur,635466
Arvi,714870
Morshi,687579
Karanja,476970
Daryapur,623444
Telhara,557095
Mehkar,418811
Lonar,245313
Sillod,98557
Vaijapur,209764
Newasa,105600
Shrirampur,95700
Kopargaon,169389
Shrigonda,73500
Ashta,107970
Phaltan,33900
Wai,974463
Mahabaleshwar,1238981
Panchgani,1162590
Matheran,1081323
Lonavala,934937
Khandala,934937
Talegaon,600541
Chakan,172870
Dehu,325952
Alandi,122392
Saswad,72487
Bhor,93577
Khed,1439129
Rajgurunagar,480041
Ambegaon,564622
Junnar,416705
Narayangaon,140520
Manchar,148237
Ghodegaon,208164
Shirur,97957
Daund,53100
Indapur,76200
Purandar,73972
Velhe,926571
Mulshi,949757
Haveli,128340
Maval,704808
Dapoli,1444462
Mandangad,1544546
Kankavli,1204768
Kudal,1073787
Sawantwadi,1105962
Dodamarg,1466283
Vengurla,1239507
Malvan,1241643
Devgad,1471957
Vaibhavwadi,1159684
Lanja,1459711
Rajapur,1230752
