City,Estimated_Damage
Mumbai,173776.65
Pune,3712.79
Kolhapur,1524.9
Sangli,463.0
Nashik,5570.17
Nagpur,18372.92
Aurangabad,1926.73
Thane,19723.49
Solapur,1230.8
Akola,3113.86
Amravati,3895.28
Satara,570.86
Raigad,1084.78
Ratnagiri,1252.09
Sindhudurg,567.8
Palghar,4915.57
Ahmednagar,504.81
Chiplun,1088.1
Mahad,336.82
Ichalkaranji,370.77
Karad,89.19
Miraj,301.32
Nanded,2576.64
Jalgaon,2737.71
Dhule,555.72
Malegaon,861.56
Bhiwandi,7600.96
Panvel,2856.44
Kalyan,11976.96
Dombivli,11464.0
Vasai,18408.34
Virar,6889.51
Navi Mumbai,1483.58
Ulhasnagar,4863.29
Sangamner,84.53
Baramati,72.76
Osmanabad,257.22
Beed,197.94
Hingoli,519.86
Parbhani,691.79
Latur,728.21
Yavatmal,710.92
Washim,467.83
Buldhana,432.42
Wardha,921.0
Chandrapur,1952.58
Gadchiroli,557.26
Gondia,746.99
Bhandara,619.2
Hinganghat,624.56
Pusad,456.0
Achalpur,598.0
Malkapur,689.56
Khamgaon,517.67
Jalna,145.85
Partur,243.2
Ghatanji,759.11
Murtijapur,651.76
Arvi,733.2
Morshi,705.21
Karanja,489.2
Daryapur,639.43
Telhara,571.38
Mehkar,429.55
Lonar,297.35
Sillod,131.41
Vaijapur,254.26
Newasa,140.8
Shrirampur,127.6
Kopargaon,205.32
Shrigonda,98.0
Ashta,143.96
Phaltan,45.2
Wai,999.45
Mahabaleshwar,1270.75
Panchgani,1192.4
Matheran,1109.05
Lonavala,958.91
Khandala,958.91
Talegaon,615.94
Chakan,209.54
Dehu,334.31
Alandi,163.19
Saswad,96.65
Bhor,124.77
Khed,1476.03
Rajgurunagar,492.35
Ambegaon,579.1
Junnar,427.39
Narayangaon,187.36
Manchar,197.65
Ghodegaon,252.32
Shirur,130.61
Daund,70.8
Indapur,101.6
Purandar,98.63
Velhe,950.33
Mulshi,974.11
Haveli,171.12
Maval,722.88
Dapoli,1481.5
Mandangad,1584.15
Kankavli,1235.66
Kudal,1101.32
Sawantwadi,1134.32
Dodamarg,1503.88
Vengurla,1271.29
Malvan,1273.48
Devgad,1509.7
Vaibhavwadi,1189.42
Lanja,1497.14
Rajapur,1262.31
