City,Date,Avg_Reservoir_Fill,Max_Reservoir_Fill,Total_Storage,Reservoirs_Above_Danger,Reservoir_Risk_Score,Reservoir_Trend_7d,Reservoir_Trend_15d
Kolhapur,2019-01-01,75.69,75.69,0.503,0,1,,
Kolhapur,2019-01-02,75.27,75.27,0.5,0,1,-0.4200000000000017,-0.4200000000000017
Kolhapur,2019-01-03,75.04,75.04,0.498,0,1,-0.6499999999999915,-0.6499999999999915
Kolhapur,2019-01-04,0.0,0.0,0.0,0,0,-75.69,-75.69
Kolhapur,2019-01-05,0.0,0.0,0.0,0,0,-75.69,-75.69
Kolhapur,2019-01-06,0.0,0.0,0.0,0,0,-75.69,-75.69
Kolhapur,2019-01-07,72.59,72.59,0.482,0,1,-3.0999999999999943,-3.0999999999999943
Kolhapur,2019-01-08,0.0,0.0,0.0,0,0,-75.27,-75.69
Kolhapur,2019-01-09,72.59,72.59,0.482,0,1,-2.450000000000003,-3.0999999999999943
Kolhapur,2019-01-10,0.0,0.0,0.0,0,0,0.0,-75.69
Kolhapur,2019-01-11,72.53,72.53,0.482,0,1,72.53,-3.1599999999999966
Kolhapur,2019-01-12,72.08,72.08,0.479,0,1,72.08,-3.6099999999999994
Kolhapur,2019-01-13,71.71,71.71,0.476,0,1,-0.8800000000000097,-3.980000000000004
Kolhapur,2019-01-14,71.35,71.35,0.474,0,1,71.35,-4.340000000000003
Kolhapur,2019-01-15,70.9,70.9,0.471,0,1,-1.6899999999999977,-4.789999999999992
Kolhapur,2019-01-16,0.0,0.0,0.0,0,0,0.0,-75.27
Kolhapur,2019-01-17,0.0,0.0,0.0,0,0,-72.53,-75.04
Kolhapur,2019-01-18,69.22,69.22,0.46,0,0,-2.8599999999999994,69.22
Kolhapur,2019-01-19,68.6,68.6,0.456,0,0,-3.1099999999999994,68.6
Kolhapur,2019-01-20,68.04,68.04,0.452,0,0,-3.309999999999988,68.04
Kolhapur,2019-01-21,67.52,67.52,0.448,0,0,-3.3800000000000097,-5.070000000000007
Kolhapur,2019-01-22,67.0,67.0,0.445,0,0,67.0,67.0
Kolhapur,2019-01-23,66.48,66.48,0.441,0,0,66.48,-6.109999999999999
Kolhapur,2019-01-24,66.05,66.05,0.439,0,0,-3.1700000000000017,66.05
Kolhapur,2019-01-25,65.63,65.63,0.436,0,0,-2.969999999999999,-6.900000000000006
Kolhapur,2019-01-26,65.24,65.24,0.433,0,0,-2.8000000000000114,-6.840000000000003
Kolhapur,2019-01-27,64.99,64.99,0.432,0,0,-2.530000000000001,-6.719999999999999
Kolhapur,2019-01-28,64.65,64.65,0.429,0,0,-2.3499999999999943,-6.699999999999989
Kolhapur,2019-01-29,64.27,64.27,0.427,0,0,-2.210000000000008,-6.63000000000001
Kolhapur,2019-01-30,63.98,63.98,0.425,0,0,-2.0700000000000003,63.98
Kolhapur,2019-01-31,63.72,63.72,0.423,0,0,-1.9099999999999966,63.72
Kolhapur,2019-02-01,63.5,63.5,0.422,0,0,-1.7399999999999949,-5.719999999999999
Kolhapur,2019-02-02,0.0,0.0,0.0,0,0,-64.99,-68.6
Kolhapur,2019-02-03,63.5,63.5,0.422,0,0,-1.1500000000000057,-4.540000000000006
Kolhapur,2019-02-04,63.01,63.01,0.418,0,0,-1.259999999999998,-4.509999999999998
Kolhapur,2019-02-05,62.76,62.76,0.417,0,0,-1.2199999999999989,-4.240000000000002
Kolhapur,2019-02-06,62.3,62.3,0.414,0,0,-1.4200000000000017,-4.180000000000007
Kolhapur,2019-02-07,61.9,61.9,0.411,0,0,-1.6000000000000014,-4.149999999999999
Kolhapur,2019-02-08,0.0,0.0,0.0,0,0,0.0,-65.63
Kolhapur,2019-02-09,0.0,0.0,0.0,0,0,-63.5,-65.24
Kolhapur,2019-02-10,61.9,61.9,0.411,0,0,-1.1099999999999994,-3.0899999999999963
Kolhapur,2019-02-11,61.9,61.9,0.411,0,0,-0.8599999999999994,-2.750000000000007
Kolhapur,2019-02-12,59.04,59.04,0.392,0,0,-3.259999999999998,-5.229999999999997
Kolhapur,2019-02-13,59.07,59.07,0.392,0,0,-2.8299999999999983,-4.909999999999997
Kolhapur,2019-02-14,58.7,58.7,0.39,0,0,58.7,-5.019999999999996
Kolhapur,2019-02-15,58.7,58.7,0.39,0,0,58.7,-4.799999999999997
Kolhapur,2019-02-16,0.0,0.0,0.0,0,0,-61.9,0.0
Kolhapur,2019-02-17,0.0,0.0,0.0,0,0,-61.9,-63.5
Kolhapur,2019-02-18,58.7,58.7,0.39,0,0,-0.3399999999999963,-4.309999999999995
Kolhapur,2019-02-19,0.0,0.0,0.0,0,0,-59.07,-62.76
Kolhapur,2019-02-20,54.97,54.97,0.365,0,0,-3.730000000000004,-7.329999999999998
Kolhapur,2019-02-21,55.01,55.01,0.365,0,0,-3.690000000000005,-6.890000000000001
Kolhapur,2019-02-22,0.0,0.0,0.0,0,0,0.0,0.0
Kolhapur,2019-02-23,0.0,0.0,0.0,0,0,0.0,0.0
Kolhapur,2019-02-24,0.0,0.0,0.0,0,0,-58.7,-61.9
Kolhapur,2019-02-25,0.0,0.0,0.0,0,0,0.0,-61.9
Kolhapur,2019-02-26,0.0,0.0,0.0,0,0,-54.97,-59.04
Kolhapur,2019-02-27,51.51,51.51,0.342,0,0,-3.5,-7.560000000000002
Kolhapur,2019-02-28,51.47,51.47,0.342,0,0,51.47,-7.230000000000004
Kolhapur,2019-03-01,0.0,0.0,0.0,0,0,0.0,-58.7
Kolhapur,2019-03-02,0.0,0.0,0.0,0,0,0.0,0.0
Kolhapur,2019-03-03,51.47,51.47,0.342,0,0,51.47,51.47
Kolhapur,2019-03-04,50.7,50.7,0.337,0,0,50.7,-8.0
Kolhapur,2019-03-05,50.39,50.39,0.335,0,0,-1.1199999999999974,50.39
Kolhapur,2019-03-06,50.16,50.16,0.333,0,0,-1.3100000000000023,-4.810000000000002
Kolhapur,2019-03-07,50.16,50.16,0.333,0,0,50.16,-4.850000000000001
Kolhapur,2019-03-08,49.47,49.47,0.328,0,0,49.47,49.47
Kolhapur,2019-03-09,49.04,49.04,0.326,0,0,-2.4299999999999997,49.04
Kolhapur,2019-03-10,48.61,48.61,0.323,0,0,-2.0900000000000034,48.61
Kolhapur,2019-03-11,48.28,48.28,0.321,0,0,-2.1099999999999994,48.28
Kolhapur,2019-03-12,47.82,47.82,0.318,0,0,-2.3399999999999963,47.82
Kolhapur,2019-03-13,47.24,47.24,0.314,0,0,-2.9199999999999946,-4.269999999999996
Kolhapur,2019-03-14,46.72,46.72,0.31,0,0,-2.75,-4.75
Kolhapur,2019-03-15,46.12,46.12,0.306,0,0,-2.9200000000000017,46.12
Kolhapur,2019-03-16,45.46,45.46,0.302,0,0,-3.1499999999999986,45.46
Kolhapur,2019-03-17,44.81,44.81,0.298,0,0,-3.469999999999999,-6.659999999999997
Kolhapur,2019-03-18,44.16,44.16,0.293,0,0,-3.6600000000000037,-6.540000000000006
Kolhapur,2019-03-19,43.51,43.51,0.289,0,0,-3.730000000000004,-6.880000000000003
Kolhapur,2019-03-20,42.88,42.88,0.285,0,0,-3.8399999999999963,-7.279999999999994
Kolhapur,2019-03-21,0.0,0.0,0.0,0,0,-46.12,-50.16
Kolhapur,2019-03-22,41.81,41.81,0.278,0,0,-3.6499999999999986,-7.659999999999997
Kolhapur,2019-03-23,41.31,41.31,0.274,0,0,-3.5,-7.729999999999997
Kolhapur,2019-03-24,40.87,40.87,0.271,0,0,-3.289999999999999,-7.740000000000002
Kolhapur,2019-03-25,40.38,40.38,0.268,0,0,-3.1299999999999955,-7.899999999999999
