City,Latitude,Longitude,Precipitation,Max_Reservoir_Fill,Flood_Risk,Confidence
Mumbai,19.076,72.8777,357.2,0.0,0,0.97
Pune,18.5204,73.8567,30.000000000000007,42.6,0,0.987
Kolhapur,16.705,74.2433,70.19999999999999,11.79,0,0.985
Sangli,16.8524,74.5815,23.200000000000003,0.0,0,0.99
Nashik,19.9975,73.7898,94.5,29.69,0,0.988
Nagpur,21.1458,79.0882,194.9,0.0,0,0.973
Aurangabad,19.8762,75.3433,41.3,0.0,0,0.99
Thane,19.2183,72.9781,273.29999999999995,0.0,0,0.973
Solapur,17.6599,75.9064,32.400000000000006,0.0,0,0.998
Akola,20.7002,77.0082,138.8,0.0,0,0.993
Amravati,20.9374,77.7796,150.50000000000003,0.0,0,1.0
Satara,17.6805,74.0183,120.1,0.0,0,0.987
Raigad,18.5074,73.1709,326.9,0.0,0,0.968
Ratnagiri,16.9944,73.3,421.9999999999999,0.0,0,0.968
Sindhudurg,16.0667,73.5,323.69999999999993,0.0,0,0.966
Palghar,19.6967,72.7661,360.3,0.0,0,0.966
Ahmednagar,19.0948,74.748,36.3,0.0,0,0.988
Chiplun,17.5333,73.5167,399.7000000000001,0.0,0,0.963
Mahad,18.0833,73.4167,345.1,0.0,0,0.968
Ichalkaranji,16.6911,74.4608,32.60000000000001,0.0,0,0.985
Karad,17.2893,74.1818,41.69999999999999,0.0,0,0.987
Miraj,16.8272,74.6506,25.3,0.0,0,0.99
Nanded,19.1383,77.321,117.0,0.0,0,1.0
Jalgaon,21.0077,75.5626,149.50000000000003,0.0,0,0.993
Dhule,20.9042,74.7749,40.900000000000006,0.0,0,0.993
Malegaon,20.5579,74.5287,45.7,0.0,0,1.0
Bhiwandi,19.3002,73.0502,273.29999999999995,0.0,0,0.973
Panvel,18.9894,73.1172,404.0,0.0,0,0.973
Kalyan,19.2437,73.1355,245.20000000000005,0.0,0,0.973
Dombivli,19.2183,73.0868,245.20000000000005,0.0,0,0.973
Vasai,19.4667,72.8167,386.69999999999993,0.0,0,0.966
Virar,19.4559,72.8111,340.6,0.0,0,0.966
Navi Mumbai,19.033,73.0297,380.6000000000001,0.0,0,0.966
Ulhasnagar,19.2215,73.1645,245.20000000000005,0.0,0,0.973
Sangamner,19.5667,74.2167,38.8,0.0,0,0.987
Baramati,18.1518,74.5815,17.7,0.0,0,1.0
Osmanabad,18.176,76.0395,55.400000000000006,0.0,0,0.995
Beed,18.9894,75.7552,34.8,0.0,0,1.0
Hingoli,19.7167,77.15,100.5,0.0,0,1.0
Parbhani,19.2608,76.7701,56.3,0.0,0,1.0
Latur,18.4088,76.5604,47.89999999999999,0.0,0,0.99
Yavatmal,20.3897,78.1313,138.09999999999997,0.0,0,1.0
Washim,20.1027,77.1333,157.9,0.0,0,0.995
Buldhana,20.5311,76.1847,95.5,0.0,0,0.99
Wardha,20.7453,78.6022,184.5,0.0,0,0.993
Chandrapur,19.9615,79.2961,153.4,0.0,0,0.991
Gadchiroli,20.1667,80.0167,156.89999999999998,0.0,0,0.991
Gondia,21.4667,80.2,140.6,0.0,0,1.0
Bhandara,21.1728,79.6507,167.30000000000004,0.0,0,0.993
Hinganghat,20.549,78.8344,157.19999999999996,0.0,0,0.991
Pusad,19.9167,77.5833,114.0,0.0,0,1.0
Achalpur,21.2667,77.5,149.50000000000003,0.0,0,1.0
Malkapur,20.8833,76.2,173.29999999999998,0.0,0,0.993
Khamgaon,20.7167,76.5667,130.10000000000002,0.0,0,0.993
Jalna,19.8333,75.8833,36.60000000000001,0.0,0,0.995
Partur,19.6,76.2167,60.8,0.0,0,1.0
Ghatanji,20.1667,78.3,193.70000000000005,0.0,0,0.973
Murtijapur,20.7333,77.3667,163.8,0.0,0,0.993
Arvi,20.9833,78.2333,183.3,0.0,0,1.0
Morshi,21.3333,78.0,177.5,0.0,0,0.991
Karanja,20.4833,77.4833,122.3,0.0,0,1.0
Daryapur,20.9167,77.3333,160.69999999999996,0.0,0,0.993
Telhara,20.8,77.0,143.6,0.0,0,0.993
Mehkar,20.15,76.5667,108.2,0.0,0,0.99
Lonar,19.9833,76.5167,74.90000000000002,0.0,0,0.99
Sillod,20.3,75.65,33.1,0.0,0,0.99
Vaijapur,19.9167,74.7333,63.899999999999984,0.0,0,0.993
Newasa,19.6167,74.9167,35.2,0.0,0,1.0
Shrirampur,19.6167,74.65,31.9,0.0,0,1.0
Kopargaon,19.8833,74.4833,51.6,0.0,0,0.993
Shrigonda,18.6167,74.6833,24.5,0.0,0,1.0
Ashta,17.0167,74.4167,36.4,0.0,0,0.985
Phaltan,17.9833,74.4333,11.3,0.0,0,1.0
Wai,17.95,73.8833,256.40000000000003,0.0,0,0.966
Mahabaleshwar,17.9167,73.65,325.99999999999994,0.0,0,0.966
Panchgani,17.9167,73.8,305.8999999999999,0.0,0,0.966
Matheran,18.9833,73.2667,284.3,0.0,0,0.967
Lonavala,18.75,73.4167,246.0,0.0,0,0.966
Khandala,18.7333,73.3833,246.0,0.0,0,0.966
Talegaon,18.7333,73.6833,155.50000000000003,0.0,0,0.987
Chakan,18.7667,73.8667,52.899999999999984,0.0,0,0.987
Dehu,18.7167,73.7667,84.4,0.0,0,0.987
Alandi,18.6833,73.8833,41.2,0.0,0,0.987
Saswad,18.35,73.9833,24.4,0.0,0,0.987
Bhor,18.15,73.8333,31.5,0.0,0,0.987
Khed,16.8167,73.45,377.5000000000001,0.0,0,0.97
