State,District,Reservoir Name,Agency Name,Date,FRL,Live Cap FRL,Level,Current Live Storage,Fill_Percentage
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-04-30,744.91,0.304,725.08,0.08138,26.769736842105264
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-01,744.91,0.304,724.76,0.07951,26.154605263157894
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-02,744.91,0.304,0.0,0.0,0.0
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-03,744.91,0.304,724.11,0.07589,24.963815789473685
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-04,744.91,0.304,723.8,0.07422,24.414473684210524
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-05,744.91,0.304,723.5,0.07252,23.855263157894736
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-06,744.91,0.304,723.15,0.07059,23.220394736842106
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-07,744.91,0.304,722.57,0.06739,22.16776315789474
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-08,744.91,0.304,0.0,0.0,0.0
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-09,744.91,0.304,721.17,0.06073,19.976973684210527
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-10,744.91,0.304,720.37,0.05748,18.907894736842106
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-11,744.91,0.304,719.84,0.05527,18.18092105263158
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-12,744.91,0.304,719.32,0.05315,17.48355263157895
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-13,744.91,0.304,718.8,0.05103,16.78618421052632
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-14,744.91,0.304,718.27,0.04882,16.05921052631579
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-15,744.91,0.304,717.71,0.04638,15.256578947368421
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-16,744.91,0.304,717.14,0.04398,14.467105263157896
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-17,744.91,0.304,716.61,0.04174,13.730263157894736
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-18,744.91,0.304,716.06,0.0395,12.993421052631579
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-19,744.91,0.304,715.42,0.03698,12.164473684210526
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-20,744.91,0.304,714.78,0.03455,11.365131578947368
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-21,744.91,0.304,714.14,0.03222,10.598684210526315
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-22,744.91,0.304,713.48,0.02993,9.845394736842104
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-23,744.91,0.304,0.0,0.0,0.0
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-24,744.91,0.304,712.17,0.02563,8.430921052631579
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-25,744.91,0.304,711.52,0.02362,7.769736842105263
Maharashtra,Ahamadnagar,Bhandardara,CWC,2024-05-26,744.91,0.304,710.83,0.02175,7.154605263157894
Maharashtra,Ahamadnagar,Jayakwadi\Nath Sagar,CWC,2024-04-30,463.91,2.171,456.725,0.19505,8.984339014279135
Maharashtra,Ahamadnagar,Jayakwadi\Nath Sagar,CWC,2024-05-01,463.91,2.171,456.685,0.18852,8.68355596499309
Maharashtra,Ahamadnagar,Jayakwadi\Nath Sagar,CWC,2024-05-02,463.91,2.171,456.648,0.1825,8.406264394288348
Maharashtra,Ahamadnagar,Jayakwadi\Nath Sagar,CWC,2024-05-03,463.91,2.171,456.618,0.17748,8.175034546292032
Maharashtra,Ahamadnagar,Jayakwadi\Nath Sagar,CWC,2024-05-04,463.91,2.171,456.59,0.17296,7.966835559649931
Maharashtra,Ahamadnagar,Jayakwadi\Nath Sagar,CWC,2024-05-05,463.91,2.171,456.56,0.16844,7.758636573007831
