State,District,Reservoir Name,Agency Name,Date,FRL,Live Cap FRL,Level,Current Live Storage
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-14,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-15,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-16,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-17,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-18,671.5,0.217,657.65,0.05919
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-19,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-20,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-21,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-22,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-23,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-24,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-25,671.5,0.217,657.44,0.05757
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-26,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-27,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-28,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-29,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-04-30,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-01,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-02,671.5,0.217,657.05,0.0552
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-03,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-04,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-05,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-06,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-07,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-08,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-09,671.5,0.217,657,0.05337
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-10,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-11,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-12,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-13,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-14,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-15,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-16,671.5,0.217,655.09,0.04171
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-17,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-18,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-19,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-20,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-21,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-22,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-23,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-24,671.5,0.217,654.1,0.03703
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-25,671.5,0.217,,
Maharashtra,Pune,BHAMA ASKHED,CWC,2024-05-26,671.5,0.217,,
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-01,744.91,0.304,730.9,0.12439
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-02,744.91,0.304,730.9,0.12439
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-03,744.91,0.304,,
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-04,744.91,0.304,,
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-05,744.91,0.304,,
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-06,744.91,0.304,,
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-07,744.91,0.304,730.81,0.124
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-08,744.91,0.304,,
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-09,744.91,0.304,730.81,0.124
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-10,744.91,0.304,730.81,0.12371
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-11,744.91,0.304,730.81,0.12371
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-12,744.91,0.304,730.81,0.12371
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-13,744.91,0.304,730.8,0.1236
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-14,744.91,0.304,730.8,0.1236
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-15,744.91,0.304,730.8,0.1236
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-16,744.91,0.304,730.78,0.12346
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-17,744.91,0.304,730.78,0.12346
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-18,744.91,0.304,730.78,0.12346
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-19,744.91,0.304,730.77,0.12335
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-20,744.91,0.304,730.77,0.12335
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-21,744.91,0.304,730.77,0.12335
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-22,744.91,0.304,730.75,0.12323
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-23,744.91,0.304,730.75,0.12323
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-24,744.91,0.304,730.75,0.12323
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-25,744.91,0.304,730.74,0.12312
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-26,744.91,0.304,730.74,0.12312
Maharashtra,Ahmednagar,Bhandardara,CWC,2019-01-27,744.91,0.304,730.74,0.12312
