City,Date,Avg_Reservoir_Fill,Max_Reservoir_Fill,Total_Storage,Reservoirs_Above_Danger,Reservoir_Risk_Score,Reservoir_Trend_7d,Reservoir_Trend_15d
Ahmednagar,2019-01-01,13.64,40.92,0.124,0,0,,
Ahmednagar,2019-01-02,28.54,40.92,0.726,0,0,14.899999999999999,14.899999999999999
Ahmednagar,2019-01-03,7.85,23.56,0.143,0,0,-5.790000000000001,-5.790000000000001
Ahmednagar,2019-01-04,0.0,0.0,0.0,0,0,-13.64,-13.64
Ahmednagar,2019-01-05,0.0,0.0,0.0,0,0,-13.64,-13.64
Ahmednagar,2019-01-06,0.0,0.0,0.0,0,0,-13.64,-13.64
Ahmednagar,2019-01-07,27.75,40.79,0.687,0,0,14.11,14.11
Ahmednagar,2019-01-08,7.66,22.99,0.14,0,0,-20.88,-5.98
Ahmednagar,2019-01-09,27.75,40.79,0.687,0,0,19.9,14.11
Ahmednagar,2019-01-10,20.06,40.69,0.547,0,0,20.06,6.419999999999998
Ahmednagar,2019-01-11,27.66,40.69,0.682,0,0,27.66,14.02
Ahmednagar,2019-01-12,27.58,40.69,0.678,0,0,27.58,13.939999999999998
Ahmednagar,2019-01-13,27.5,40.66,0.675,0,0,-0.25,13.86
Ahmednagar,2019-01-14,27.44,40.66,0.672,0,0,19.78,13.8
Ahmednagar,2019-01-15,27.39,40.66,0.67,0,0,-0.35999999999999943,13.75
Ahmednagar,2019-01-16,27.32,40.61,0.667,0,0,7.260000000000002,-1.2199999999999989
Ahmednagar,2019-01-17,27.26,40.61,0.664,0,0,-0.3999999999999986,19.410000000000004
Ahmednagar,2019-01-18,27.21,40.61,0.661,0,0,-0.36999999999999744,27.21
Ahmednagar,2019-01-19,27.13,40.58,0.658,0,0,-0.370000000000001,27.13
Ahmednagar,2019-01-20,27.08,40.58,0.656,0,0,-0.360000000000003,27.08
Ahmednagar,2019-01-21,27.03,40.58,0.654,0,0,-0.35999999999999943,-0.7199999999999989
Ahmednagar,2019-01-22,26.97,40.54,0.652,0,0,-0.3500000000000014,19.31
Ahmednagar,2019-01-23,26.91,40.54,0.649,0,0,-0.3500000000000014,-0.8399999999999999
Ahmednagar,2019-01-24,26.87,40.54,0.647,0,0,-0.33999999999999986,6.810000000000002
Ahmednagar,2019-01-25,26.79,40.5,0.644,0,0,-0.33999999999999986,-0.870000000000001
Ahmednagar,2019-01-26,26.73,40.5,0.641,0,0,-0.34999999999999787,-0.8499999999999979
Ahmednagar,2019-01-27,26.65,40.5,0.637,0,0,-0.38000000000000256,-0.8500000000000014
Ahmednagar,2019-01-28,26.55,40.46,0.632,0,0,-0.41999999999999815,-0.8900000000000006
Ahmednagar,2019-01-29,26.44,40.46,0.626,0,0,-0.46999999999999886,-0.9499999999999993
Ahmednagar,2019-01-30,26.42,40.46,0.626,0,0,-0.4499999999999993,-0.8999999999999986
Ahmednagar,2019-01-31,20.7,40.42,0.255,0,0,-6.09,-6.560000000000002
Ahmednagar,2019-02-01,26.03,40.42,0.603,0,0,-0.6999999999999993,-1.1799999999999997
Ahmednagar,2019-02-02,25.88,40.42,0.594,0,0,-0.7699999999999996,-1.25
Ahmednagar,2019-02-03,25.71,40.39,0.585,0,0,-0.8399999999999999,-1.3699999999999974
Ahmednagar,2019-02-04,25.48,40.39,0.575,0,0,-0.9600000000000009,-1.5500000000000007
