city,district
Pune,Pune
Kolhapur,Kolhapur
Nashik,Nashik
Thane,Thane
Solapur,Solapur
Satara,Satara
Sindhudurg,Sindhudurg
Palghar,Palghar
Ahmednagar,Ahmednagar
Baramati,Pune
Hingoli,Hingoli
Parbhani,Parbhani
Wardha,Wardha
Jalgaon,Jalgaon
Bhiwandi,Thane
Kalyan,Thane
Dombivli,Thane
Vasai,Palghar
Virar,Palghar
Sangamner,Ahmednagar
Ulhasnagar,Thane
Lonavala,Pune
Khandala,Pune
Talegaon,Pune
Chakan,Pune
Dehu,Pune
Alandi,Pune
Saswad,Pune
Bhor,Pune
Khed,Pune
Rajgurunagar,Pune
Ambegaon,Pune
Junnar,Pune
Narayangaon,Pune
Manchar,Pune
Ghodegaon,Pune
Shirur,Pune
Daund,Pune
Indapur,Pune
Purandar,Pune
Velhe,Pune
Mulshi,Pune
Haveli,Pune
Maval,Pune
Phaltan,Satara
Wai,Satara
Mahabaleshwar,Satara
Panchgani,Satara
Kankavli,Sindhudurg
Kudal,Sindhudurg
Sawantwadi,Sindhudurg
Dodamarg,Sindhudurg
Vengurla,Sindhudurg
Malvan,Sindhudurg
Devgad,Sindhudurg
Vaibhavwadi,Sindhudurg
