city,reservoir
Pune,BHAMA ASKHED
Pune,Bhatghar
Pune,CHASKAMAN
Pune,DIMBHE DAM
Pune,Khadakwasla Reservoir
Pune,Manikdoh
Pune,Mulshi Dam
Pune,Niradevghar
Pune,PANSHET(TANAJISAGAR)
Pune,Thokarwadi
Kolhapur,Dudhganga
Nashik,DARNA DAM
Nashik,Girna Reservoir
Nashik,Upper Vaitarana Reservoir
Thane,Bhatsa
Solapur,Bhima\Ujjani Reservoir
Satara,Dhom
Satara,Kanher Dam
Satara,Koyana/Shivaji Sagar
Satara,Urmodi
Satara,VEER DAM
Sindhudurg,TILLARI
Palghar,SURYA
Ahmednagar,Bhandardara
Ahmednagar,Jayakwadi\Nath Sagar
Ahmednagar,Mula Reservoir
Jalgaon,Upper Tapi\Hatnur Reservoir
Hingoli,Isapur Reservoir
Parbhani,Yeldari Reservoir
Wardha,Upper Wardha Reservoir
Bhiwandi,Bhatsa
Kalyan,Bhatsa
Dombivli,Bhatsa
Vasai,SURYA
Virar,SURYA
Sangamner,Bhandardara
Baramati,BHAMA ASKHED
Phaltan,Dhom
Wai,Dhom
Mahabaleshwar,Dhom
Panchgani,Dhom
Lonavala,BHAMA ASKHED
Khandala,BHAMA ASKHED
Talegaon,BHAMA ASKHED
Chakan,BHAMA ASKHED
Dehu,BHAMA ASKHED
Alandi,BHAMA ASKHED
Saswad,BHAMA ASKHED
Bhor,BHAMA ASKHED
Khed,BHAMA ASKHED
Rajgurunagar,BHAMA ASKHED
Ambegaon,BHAMA ASKHED
Junnar,BHAMA ASKHED
Narayangaon,BHAMA ASKHED
Manchar,BHAMA ASKHED
Ghodegaon,BHAMA ASKHED
Shirur,BHAMA ASKHED
Daund,BHAMA ASKHED
Indapur,BHAMA ASKHED
Purandar,BHAMA ASKHED
Velhe,BHAMA ASKHED
Mulshi,Mulshi Dam
Haveli,BHAMA ASKHED
Maval,BHAMA ASKHED
Kankavli,TILLARI
Kudal,TILLARI
Sawantwadi,TILLARI
Dodamarg,TILLARI
Vengurla,TILLARI
Malvan,TILLARI
Devgad,TILLARI
Vaibhavwadi,TILLARI
