City,Total_High_Risk_Days,Avg_Flood_Probability,Peak_Flood_Probability,Risk_Variability,Avg_Precipitation,Avg_Reservoir_Fill,Latitude,Longitude,Critical_Risk_Days,High_Confidence_Days,Overall_Risk_Category
Vengurla,0,0.276,0.307,0.024,18.371,6.269,15.867,73.617,0,6,Low
Malvan,0,0.271,0.307,0.021,16.843,6.269,16.067,73.467,0,6,Low
Palghar,0,0.27,0.353,0.044,32.586,5.0,19.697,72.766,0,6,Low
Sindhudurg,0,0.27,0.307,0.021,16.843,6.269,16.067,73.5,0,6,Low
Kudal,0,0.264,0.315,0.028,14.586,6.269,16.017,73.683,0,6,Low
Virar,0,0.262,0.325,0.037,30.686,5.0,19.456,72.811,0,6,Low
Dodamarg,0,0.26,0.34,0.044,23.386,6.269,15.733,73.817,0,5,Low
Devgad,0,0.258,0.288,0.02,17.114,6.269,16.383,73.383,0,7,Low
Vasai,0,0.256,0.321,0.037,31.029,5.0,19.467,72.817,0,6,Low
Ulhasnagar,0,0.25,0.276,0.015,19.457,0.0,19.222,73.164,0,7,Low
Wardha,0,0.243,0.256,0.012,6.229,5.0,20.745,78.602,0,7,Low
Vaibhavwadi,0,0.234,0.287,0.025,14.614,6.269,16.517,73.733,0,7,Low
Kankavli,0,0.229,0.265,0.019,13.471,6.269,16.267,73.7,0,7,Low
Parbhani,0,0.228,0.236,0.007,2.471,5.0,19.261,76.77,0,7,Low
Sawantwadi,0,0.223,0.261,0.019,15.171,6.269,15.9,73.817,0,7,Low
Pune,0,0.22,0.235,0.014,2.029,11.257,18.52,73.857,0,7,Low
Hingoli,0,0.22,0.232,0.011,1.314,5.0,19.717,77.15,0,7,Low
Khandala,0,0.212,0.248,0.023,22.457,13.354,18.733,73.383,0,7,Low
Lonavala,0,0.212,0.248,0.023,22.457,13.354,18.75,73.417,0,7,Low
Daund,0,0.208,0.237,0.036,0.386,13.354,18.467,74.583,0,7,Low
Shirur,0,0.206,0.247,0.032,1.414,13.354,18.817,74.367,0,7,Low
Khed,0,0.206,0.248,0.029,18.014,13.354,18.033,73.4,0,7,Low
Baramati,0,0.205,0.236,0.033,0.429,13.354,18.152,74.582,0,7,Low
Bhiwandi,0,0.204,0.345,0.07,22.6,30.954,19.3,73.05,0,6,Low
Thane,0,0.204,0.345,0.07,22.6,30.954,19.218,72.978,0,6,Low
Sangamner,0,0.204,0.242,0.038,4.871,16.79,19.567,74.217,0,7,Low
Solapur,0,0.196,0.23,0.031,0.6,17.72,17.66,75.906,0,7,Low
Indapur,0,0.196,0.216,0.028,0.6,13.354,18.117,75.017,0,7,Low
Alandi,0,0.195,0.23,0.043,3.257,13.354,18.683,73.883,0,7,Low
Velhe,0,0.194,0.243,0.029,25.114,13.354,18.283,73.617,0,7,Low
Junnar,0,0.191,0.254,0.038,6.843,13.354,19.2,73.883,0,7,Low
Ghodegaon,0,0.19,0.259,0.045,4.871,13.354,18.667,73.767,0,7,Low
Narayangaon,0,0.189,0.225,0.033,1.129,13.354,19.1,73.983,0,7,Low
Dehu,0,0.185,0.254,0.039,8.9,13.354,18.717,73.767,0,7,Low
Bhor,0,0.183,0.223,0.037,1.043,13.354,18.15,73.833,0,7,Low
Ambegaon,0,0.183,0.229,0.037,8.686,13.354,19.0,73.717,0,7,Low
Rajgurunagar,0,0.182,0.229,0.036,8.686,13.354,18.867,73.767,0,7,Low
Manchar,0,0.182,0.225,0.035,1.943,13.354,19.033,73.917,0,7,Low
Talegaon,0,0.181,0.224,0.029,14.9,13.354,18.733,73.683,0,7,Low
Chakan,0,0.179,0.206,0.029,5.543,13.354,18.767,73.867,0,7,Low
Maval,0,0.179,0.231,0.036,12.229,13.354,18.717,73.533,0,7,Low
Haveli,0,0.179,0.213,0.036,2.557,13.354,18.417,73.817,0,7,Low
Saswad,0,0.178,0.236,0.036,2.029,13.354,18.35,73.983,0,7,Low
Purandar,0,0.175,0.223,0.038,2.0,13.354,18.3,73.983,0,7,Low
Dombivli,0,0.174,0.27,0.058,19.457,30.954,19.218,73.087,0,7,Low
Kalyan,0,0.174,0.27,0.058,19.457,30.954,19.244,73.136,0,7,Low
Mulshi,0,0.173,0.248,0.057,22.457,24.48,18.533,73.5,0,7,Low
Kolhapur,0,0.166,0.236,0.043,1.457,16.766,16.705,74.243,0,7,Low
Ahmednagar,0,0.146,0.222,0.042,1.086,26.52,19.095,74.748,0,7,Low
Satara,0,0.136,0.234,0.068,3.843,35.223,17.68,74.018,0,7,Low
Nashik,0,0.107,0.208,0.072,2.671,45.611,19.998,73.79,0,7,Low
Jalgaon,0,0.077,0.179,0.063,4.2,64.129,21.008,75.563,0,7,Low
Wai,0,0.068,0.312,0.108,19.429,89.598,17.95,73.883,0,6,Low
Panchgani,0,0.051,0.244,0.085,17.171,89.598,17.917,73.8,0,7,Low
Mahabaleshwar,0,0.049,0.239,0.084,17.171,89.598,17.917,73.65,0,7,Low
Phaltan,0,0.031,0.151,0.054,0.386,89.598,17.983,74.433,0,7,Low
