temp_avg,temp_max,wind_speed,cloud_cover,precipitation,humidity,precip_cover,avg_reservoir_fill,max_reservoir_fill,reservoir_risk_score,reservoirs_above_danger,flood_class
23.89375,29.5,23.656249999999996,98.1875,141.20000000000002,86.0,100.0,21.84,60.33,0,0,0
24.05,29.7,19.087500000000002,94.9375,78.89999999999999,85.75,100.0,42.72,69.6,0,0,0
22.15,30.5,13.287499999999996,63.9375,76.6,75.9375,43.75,17.13,66.14,0,0,0
28.0,38.6,21.98125,38.6875,124.89999999999999,66.5625,50.0,8.77,45.02,0,0,0
23.10625,30.2,11.481249999999998,44.4375,14.600000000000001,69.125,37.5,66.44,96.42,4,2,1
24.793750000000003,35.6,15.562499999999998,31.3125,0.0,37.125,0.0,35.72,64.39,0,0,0
22.275,30.1,11.274999999999999,33.4375,9.8,64.875,18.75,68.19,96.57,4,2,1
24.137499999999996,29.6,13.28125,68.75,77.7,85.625,93.75,14.63,87.77,2,1,1
24.743749999999995,31.4,21.050000000000004,96.125,151.09999999999997,82.8125,100.0,8.51,25.85,0,0,0
28.61875,40.8,19.65,38.3125,6.199999999999999,59.0,31.25,28.73,56.15,0,0,0
26.237499999999994,35.0,13.056249999999997,9.125,0.8,36.6875,12.5,22.66,44.45,0,0,0
24.662499999999994,29.1,24.49375,79.9375,90.6,84.9375,100.0,15.87,79.7,0,0,0
23.74375,31.7,11.174999999999999,37.4375,8.8,66.1875,31.25,64.41,96.14,3,1,1
22.7875,30.8,11.09375,16.5,0.0,55.25,0.0,47.45,85.53,2,1,0
24.956250000000004,31.2,19.08125,77.5,54.8,81.875,100.0,6.67,21.79,0,0,0
23.318749999999998,28.1,25.36875,96.6875,218.30000000000004,87.5625,100.0,44.93,93.18,2,1,1
23.875,30.6,17.9625,97.125,127.59999999999998,87.375,100.0,79.28,79.28,1,0,0
28.962500000000002,39.5,20.168750000000003,31.625,6.8999999999999995,63.0,25.0,8.23,8.23,0,0,0
23.593750000000004,27.7,23.375,81.875,86.90000000000003,87.1875,100.0,100.0,100.0,6,1,1
27.4,40.0,21.96875,72.25,61.199999999999996,70.75,62.5,31.12,31.12,0,0,0
23.3625,27.3,28.375000000000004,91.625,358.6,89.625,100.0,98.0,98.0,6,1,1
23.918750000000003,27.7,24.900000000000002,97.1875,134.0,87.9375,100.0,18.27,18.27,0,0,0
23.00625,26.7,27.78125,97.9375,228.0,91.1875,100.0,76.17,76.17,1,0,0
28.825000000000003,40.6,20.243750000000002,50.9375,0.2,56.6875,12.5,16.92,16.92,0,0,0
26.525,33.3,12.49375,47.0625,2.7,65.0625,43.75,96.28,96.28,6,1,1
31.081249999999997,41.2,21.0625,42.5625,4.6,39.75,31.25,26.88,26.88,0,0,0
29.087500000000002,39.4,21.325000000000003,46.25,4.7,63.125,31.25,2.51,2.51,0,0,0
24.03125,30.7,15.55625,54.9375,7.299999999999999,66.75,43.75,97.49,97.49,6,1,1
23.48125,28.1,25.043750000000003,87.875,245.30000000000004,88.375,100.0,100.0,100.0,6,1,1
27.525000000000006,35.6,18.85625,66.875,131.10000000000002,71.125,93.75,29.92,29.92,0,0,0
21.387500000000003,33.6,14.43125,5.4375,0.0,49.25,0.0,35.84,71.69,0,0,0
23.55,27.4,23.25,93.0,222.4,90.0625,100.0,80.1,99.19,4,1,1
23.30625,29.2,14.956249999999999,66.3125,56.800000000000004,86.0,100.0,99.75,99.91,7,2,1
24.2125,29.7,15.781249999999998,95.6875,144.9,86.8125,100.0,90.41,91.06,5,2,1
29.056250000000002,37.6,19.4625,11.625,1.7,56.25,12.5,25.15,26.69,0,0,0
