City,Latitude,Longitude,Date,Precipitation,Max_Reservoir_Fill,Flood_Risk,Flood_Probability,Risk_Category,Confidence,explanation
Pune,18.5204,73.8567,2025-08-20,10.7,6.564285714285721,0,0.1997622839488863,Low,High,Normal conditions
Pune,18.5204,73.8567,2025-08-21,0.2,8.128571428571442,0,0.2354528649491859,Medium,High,Normal conditions
Pune,18.5204,73.8567,2025-08-22,0.0,9.692857142857164,0,0.2155059247597047,Medium,High,Normal conditions
Pune,18.5204,73.8567,2025-08-23,0.0,11.257142857142885,0,0.2247024642872138,Medium,High,Normal conditions
Pune,18.5204,73.8567,2025-08-24,0.0,12.821428571428603,0,0.2036431796616654,Medium,High,Normal conditions
Pune,18.5204,73.8567,2025-08-25,0.9,14.385714285714323,0,0.2350473206891128,Medium,High,Normal conditions
Pune,18.5204,73.8567,2025-08-26,2.4,15.950000000000047,0,0.2273150010413589,Medium,High,Normal conditions
Kolhapur,16.705,74.2433,2025-08-20,6.6,7.941428571428572,0,0.2360970642935715,Medium,High,Normal conditions
Kolhapur,16.705,74.2433,2025-08-21,0.0,10.882857142857144,0,0.196812785414822,Low,High,Normal conditions
Kolhapur,16.705,74.2433,2025-08-22,0.0,13.824285714285717,0,0.1922624837164113,Low,High,Normal conditions
Kolhapur,16.705,74.2433,2025-08-23,0.0,16.76571428571429,0,0.1205065674921836,Low,High,Normal conditions
Kolhapur,16.705,74.2433,2025-08-24,0.0,19.70714285714286,0,0.1502265592346401,Low,High,Normal conditions
Kolhapur,16.705,74.2433,2025-08-25,0.0,22.648571428571437,0,0.124183063891437,Low,High,Normal conditions
Kolhapur,16.705,74.2433,2025-08-26,3.6,25.590000000000003,0,0.1396800762212362,Low,High,Normal conditions
Nashik,19.9975,73.7898,2025-08-20,3.0,15.152857142857137,0,0.2077914052331084,Medium,High,Normal conditions
Nashik,19.9975,73.7898,2025-08-21,0.2,25.305714285714277,0,0.1852499321914378,Low,High,Normal conditions
Nashik,19.9975,73.7898,2025-08-22,0.6,35.45857142857142,0,0.1314312901056431,Low,High,Normal conditions
Nashik,19.9975,73.7898,2025-08-23,0.8,45.61142857142855,0,0.0930711092082089,Low,High,Normal conditions
Nashik,19.9975,73.7898,2025-08-24,0.6,55.76428571428569,0,0.0723231551350576,Low,High,Normal conditions
Nashik,19.9975,73.7898,2025-08-25,2.1,65.91714285714284,0,0.0549672427286861,Low,High,Normal conditions
Nashik,19.9975,73.7898,2025-08-26,11.4,76.06999999999996,0,0.0070818948983505,Low,High,Reservoir high 76.1%
Thane,19.2183,72.9781,2025-08-20,53.1,11.488571428571436,0,0.3449673916459971,Medium,Medium,Moderate rainfall 53.1mm
Thane,19.2183,72.9781,2025-08-21,8.3,17.977142857142873,0,0.2097594529385183,Medium,High,Normal conditions
Thane,19.2183,72.9781,2025-08-22,5.0,24.465714285714316,0,0.1998588267053034,Low,High,Normal conditions
Thane,19.2183,72.9781,2025-08-23,7.5,30.95428571428575,0,0.1445213963568938,Low,High,Normal conditions
Thane,19.2183,72.9781,2025-08-24,5.7,37.44285714285719,0,0.161973735851682,Low,High,Normal conditions
Thane,19.2183,72.9781,2025-08-25,18.9,43.93142857142863,0,0.1414445987924384,Low,High,Normal conditions
Thane,19.2183,72.9781,2025-08-26,59.7,50.42000000000006,0,0.2247239298981862,Medium,High,Moderate rainfall 59.7mm
Solapur,17.6599,75.9064,2025-08-20,1.4,8.18,0,0.2302049472806472,Medium,High,Normal conditions
Solapur,17.6599,75.9064,2025-08-21,0.4,11.36,0,0.2192606001414206,Medium,High,Normal conditions
Solapur,17.6599,75.9064,2025-08-22,0.0,14.54,0,0.2233076520654754,Medium,High,Normal conditions
Solapur,17.6599,75.9064,2025-08-23,0.3,17.720000000000002,0,0.1574398241089845,Low,High,Normal conditions
Solapur,17.6599,75.9064,2025-08-24,0.0,20.9,0,0.1618028730977981,Low,High,Normal conditions
Solapur,17.6599,75.9064,2025-08-25,0.0,24.08,0,0.169874624493613,Low,High,Normal conditions
Solapur,17.6599,75.9064,2025-08-26,2.1,27.26,0,0.2069705691885844,Medium,High,Normal conditions
Satara,17.6805,74.0183,2025-08-20,19.1,12.555714285714284,0,0.2336636867224026,Medium,High,Normal conditions
Satara,17.6805,74.0183,2025-08-21,0.5,20.11142857142857,0,0.1768779591655077,Low,High,Normal conditions
Satara,17.6805,74.0183,2025-08-22,0.7,27.667142857142856,0,0.2058357609871286,Medium,High,Normal conditions
Satara,17.6805,74.0183,2025-08-23,0.0,35.22285714285714,0,0.1005188433753198,Low,High,Normal conditions
Satara,17.6805,74.0183,2025-08-24,0.0,42.77857142857143,0,0.0825419903006662,Low,High,Normal conditions
Satara,17.6805,74.0183,2025-08-25,0.6,50.33428571428571,0,0.0865890422247211,Low,High,Normal conditions
Satara,17.6805,74.0183,2025-08-26,6.0,57.88999999999999,0,0.0660717167000749,Low,High,Normal conditions
