city,district,date,year_week,source_url,severity
Kalyan,,2005-07-26,2005-30,https://news.google.com/rss/articles/CBMizgFBVV95cUxNZ2l4VC1TcnV6Z1YzMXd5LTU0ZlcwYkw2VjhzSUFWeHNMZHVad2ptX09NU25WbW5QQThYRTd0SndFbFlHbk1BMDZyY2ZkNEN1Y3JlWUhaQ3RPdS12NkllZ3pwczFNcmtjcjMwWHZrMUtqZDRWd1BDZWxONVFMODMzak55elBUWWwwdW5XV3VsLUFrcmwtd1dhNERjdi0xRXBSQ3NzZlZKWGo4alkyblVQMHA2NGg3RkxHbkRtV0ZlYXY3OHZqMHJVTUk0dHUwUdIB0wFBVV95cUxPU3B2YTVOSzJmTW1mRXlwMkYtNGFUdGNLVUduUktPR251T3V0OGcxczVGcl9lMVROTnBUSkx4aTFvYkFsSFoybHhuV25wRE9STk42SmNOdENBdnNvN1B2dUNWWkV2X2Zqc2Z0Nm00MkdNNW5URUJuRFlvcnY2SExXUzctNDNnMlJoRU1QUXJFbXhYRkxBY1FLeV80bUllVEtLdW1zZ085bHpWRnZGZFEyazdUclNvLWMxWFg5RUEtWjJra0laV2paUGdRbnA2UThXaVA4?oc=5,High
Nashik,,2016-07-10,2016-28,https://news.google.com/rss/articles/CBMirgFBVV95cUxOX1VjenFmY2JvYi1fQVpmZDlNbVd1c2dDeXBFTl9qZ2g2U2U3SkJwdXRFUkl3bENMZ0Q2NXViYjNscGZSZVdRallHQ0xOd3R5WnJHMTBHU3JhVlJHMDd4Z0NjRC1Rc0Mta0NzRWNKN2FOOENDc09weUU0ZHl6dHZ5STM2cHE1dnJ6Sng5UmU2bDRSUGRpWFk4WU9IUklTZVE2RUQ5YXNFM1J0dDNpX1HSAbQBQVVfeXFMTzhtbnF6dWtXNEg0dlRZeHc4bDdyTmlOMmxTbllDREdiazYtWm10MVVpeU9rZ1JFd3F4cjhNbDZvRXI0WTJudS0xTTRYOUxBb3BSTGNHMU0xNDNPUUFoNTI0anNqNFhWNXowSmtXYUk3ZXpPZVp2d1F1YUFIa01QaFhnSHJpbUVmNG1lbGR4bS0zNUhJbWpaZVZIbGl0UDZqcHdMLXZWaDhYUmZzR1FCRnZ0WHM3?oc=5,High
Parbhani,,2016-07-15,2016-28,https://news.google.com/rss/articles/CBMitwFBVV95cUxPbUdteUpoeUNvZk5BbERpLXdPUlNwOG1SNzYxVjg3b2VsVG4zeGFXUlB3Ym1PWHJSVDJXMU51bVN3RWZyRkNaX3pHQU16ei1icXRITUtlUkRGcjVJNXBMU0VrY1pkcEVDajRuaVducHh2N1NzNlNneGhEVi1vekhwVG9zQy1fRUUzTHFtaDhuTFBoQ1RtQTRSMVFad0dhRGVBNzM1WnVodFdnVEVDb05Wd0hUblF1RW8?oc=5,High
Virar,,2018-01-21,2018-03,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNa1FTRGZfRFV6MVB5aHFYSnNzdDNScHhYV0dPbk16Y0VZMGpvenFOeTZ6WTd1NFA3eklzenhudlBRNkotbVdLbWFBaEVZQ1RyZjdYa2JlMWdlTHRsTTZZMmhJZkdOZHNzR0NYRERId1Z3eXVwN2hQaVF5QU95SGo3MHZjVWhGelczMlNva2FWYll0V2N4MWtzMDJUMVdMQ0pGZ0xTWU5qbG92OEthVm54SnQ1bWY3a0ZyWER2V2s0SVc0SjJxMmFXVUhTQk95UGp3N1JYUWQ1OGFVMnRyNGJya3J6Z3pzWUg3NW1yM2Ffa29wSjk2WXlrOQ?oc=5,High
Haveli,,2019-06-11,2019-23,https://news.google.com/rss/articles/CBMitwFBVV95cUxOMmpRNTNzVUJ0UUEwU3g2TThUaEpLNVVZcXRzYnNZMGlwWDRacVl3cXpvZlFWVDFweWJxd2dxX213M0hQTGZVQkNBTWotNUc3RzNvMHNSaWs5VUhUdHdGSk1UdGpWV0dQbExIMXpwejN2TTJ3OEFtZ2xnWHF0bnp5QlVfaTZsRElmNmlxNUpnRi1yUTBRZ1I5VjNST3Z2dmJXNXgtNHAyYm9NRmg3OEdpVFR1SzNDRzDSAbwBQVVfeXFMTmlVQ1dqZHBHQ3ZjOXdHNER5NExqOVVISjlUT1N1SERsNHoza2RXd1d2QzdrOWRTVUdaai1tS1NSbkxCejdWLUtJcnF2ZzlfbnRCRkdMUVpnenZqazhtRGg5eG93TWZXWV94cEZ5cG9zNTNNbS1ZUDE4clJENDR2NzlnMFNYY1FLV1h1dkxncjdfTGVjazJVV3hXVlFQSUNDS2hySDh2QXFJalhBQVk2NEY1MXVnZElSZGZyWnM?oc=5,High
Sindhudurg,,2019-06-27,2019-25,https://news.google.com/rss/articles/CBMingFBVV95cUxPNHR1bzFEUGFqRWV2RkMxRjJ1cWMxbnR5WUgwR3BqRk9QVnczYjR6RGZhUDlmNDhUYVNBbWhldjNBQlg0U1E4ZW9NQmp4UFJKSmlmZkZSUGt0RXQxRm5TVDUxSjZzRXFFRTJCZ01iS2JFZWhhTGNmVGluTVlnVmduelU1UW1xUWZKcmRvRXlQUHM1VzFyYzBVMnExTTR0d9IBowFBVV95cUxNUEZTczFsZmNBbE43aWRlLS1vcmNrTTctMzZTeEotZWtOQUQtUTlfVGczUV90czBhcGJ2NzlEMUY2UlRzNkU1enphaFZZbVNmVHl4Tk5ZRUttUkhGV0o4T2dGTkVOWnZ1RHJjazR1QjljdHR0cjM4bTE4VWdpUkVrRXBZdjU3cW92SktYcVkzTzFUdmFlcnJnaVBXNy1NMTROdGRZ?oc=5,High
Virar,,2019-06-28,2019-25,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNc212NEV2azd0RTV2WTZzRWwtU1lxQTg1LXNnaGwxWFZDQXJFZTlHYzg0YlVHYVZvVU9pdmplZkNGeWM4aW1ZZjBaNF84MGFVcXZweXhKU2ZBUmUwVkYyUDBGNllxTDYyN3cwcExWRVJNS1VCSW5kdWhIMFI3OXJHX1I1bG55TERqNEtBd3lBUWF3dlJZTlJnU0p0aW9ibWxUdHQzYnB1cWzSAa4BQVVfeXFMUDBUVlBrZkd4RzdmQzNjVzA3MUE1WlRueGs5MF9sdkYtSHJVaUF6MkFOQWpGWXZhV3FiZDBPZ1llbWx1YWpRRGdpMXk1c2hRWElFZjZZdmtDOGstazZGQnRCbDM5YjZ6QVZYcUFiY1J6UV93eXNjczhrckNpc1M0NnlQeVZIcTlTYzZHREprbnZRbk56VVhxZkFPYmhSeFJiQ0JwbEJveE5iT3ZwRW5n?oc=5,High
Palghar,,2019-07-02,2019-26,https://news.google.com/rss/articles/CBMimAFBVV95cUxNR1JwTzBQdGtiNVNRdi1oOUhpQV9lVG5NV2pJWkoyNzJhTFVXazRERHRmNXZvWnZER0U1MHVaVkZubWRfMTdTV3g0R1ZzZk41TDVZSEdvN0FINVBlNmtxVUw1SHVPNDVycFpMWGFqR2UyS0tkWEhmaTV2QnFEWUN2c1hfRlFMcWttSnNWc0tVOXBYRkUweFFoWQ?oc=5,High
Thane,,2019-07-03,2019-26,https://news.google.com/rss/articles/CBMiowFBVV95cUxNaW5DLVlGNmQteW0xTUkwX05reWp3V3BrQTFCczNmUUdwV0xkNDNNa2NyQnFBaXh0TTN5YUR4TEw0SUFGeC1CM0dsY3ViQXB3OHdJa1dwX0o5LXpiV1JLWXRSWXcxdGhnN05CZExBejFnNXN2dUZYMVFKaERMYjdXd2s2M0o4YTZjLUs3Y0daakgyTzNkNzRHUDRfWTlnYWRGcDZj?oc=5,High
Palghar,,2019-07-11,2019-27,https://news.google.com/rss/articles/CBMixwFBVV95cUxNMFVqMk9jRXc5eXh3akMxSjFBWTZ1eTRra0RMZFRucnFmdHhNWmRvRWdWYmp4UGxUWTJNWmZaSHhKeTZQWDFBNVVxSHZPaTZoWkZMb3FBM2MtSUpQZVBzMHpPenhZeUY3M2V1Wk1EM0RwQl8zNnM0UHg1V0pvUDVLN0EwYm9fU1VVcmgwbGJrV2VIYkZUYUdDWHBZNUM0RmxuVEM0TEpFLWF1a0lCTldYdkt4V1F4LVNnM2g2TmxzWlhWZDdjaDZr0gHMAUFVX3lxTE9QZXRrS01lQTJreWVxQ0tEUDB0anpCNUJ4OGFOU1BJQ2FHMGpTc2pRb1hmSk05ajE1a29HU0pYbU5hZHZVWDJDQWxUcXlUN3Y4ZWtKWm1ya2gycDdfNXdYeGdKNEQwS19ZVS1nN3RHaE1OQXpqci1LZGNtdGFWNzZyZ0VPOUZlZXkxNkwwY1JBOGgzbzEzVl8tc3lnNDRyd2JzMlRWRnl0bVdwcXMtRzk1SGd0NjRDeEM1clk3VG9fZlVLRmwtdmhYQmMtbA?oc=5,High
